keyword,intent,funnel,cluster,geoClass,demand,difficulty,opportunity,commercial,directorySerp,parentIntent,entities,page,links,priority
sultan hanafi royal schools,navigational,decision,brand,ikorodu,5.5,3,92,5,false,find the school itself,SHRS,/,/about/ /admission/ /contact/,P1
sultan hanafi royal schools school fees,transactional,decision,brand,ikorodu,5.5,3,92,5,false,school fees for this school,SHRS,/,/about/ /admission/ /contact/,P1
sultan hanafi royal schools fees per term,transactional,decision,brand,ikorodu,5.5,3,92,5,false,fees per term for this school,SHRS,/,/about/ /admission/ /contact/,P1
sultan hanafi royal schools tuition fees,transactional,decision,brand,ikorodu,5.5,3,92,5,false,tuition fees for this school,SHRS,/,/about/ /admission/ /contact/,P1
sultan hanafi royal schools admission requirements,transactional,decision,brand,ikorodu,5.5,3,92,5,false,admission requirements for this school,SHRS,/,/about/ /admission/ /contact/,P1
sultan hanafi royal schools how to apply,transactional,decision,brand,ikorodu,5.5,3,92,5,false,how to apply for this school,SHRS,/,/about/ /admission/ /contact/,P1
sultan hanafi royal schools application form,transactional,decision,brand,ikorodu,5.5,3,92,5,false,application form for this school,SHRS,/,/about/ /admission/ /contact/,P1
sultan hanafi royal schools requirements for admission,transactional,decision,brand,ikorodu,5.5,3,92,5,false,requirements for admission for this school,SHRS,/,/about/ /admission/ /contact/,P1
sultan hanafi royal schools mid term admission,transactional,decision,brand,ikorodu,5.5,3,92,5,false,mid term admission for this school,SHRS,/,/about/ /admission/ /contact/,P1
sultan hanafi royal schools boarding fees,transactional,decision,brand,ikorodu,5.5,3,92,5,false,boarding fees for this school,SHRS,/,/about/ /admission/ /contact/,P1
sultan hanafi school,navigational,decision,brand,ikorodu,5.5,3,92,5,false,find the school itself,SHRS,/,/about/ /admission/ /contact/,P1
sultan hanafi school school fees,transactional,decision,brand,ikorodu,5.5,3,92,5,false,school fees for this school,SHRS,/,/about/ /admission/ /contact/,P1
sultan hanafi school fees per term,transactional,decision,brand,ikorodu,5.5,3,92,5,false,fees per term for this school,SHRS,/,/about/ /admission/ /contact/,P1
sultan hanafi school tuition fees,transactional,decision,brand,ikorodu,5.5,3,92,5,false,tuition fees for this school,SHRS,/,/about/ /admission/ /contact/,P1
sultan hanafi school admission requirements,transactional,decision,brand,ikorodu,5.5,3,92,5,false,admission requirements for this school,SHRS,/,/about/ /admission/ /contact/,P1
sultan hanafi school how to apply,transactional,decision,brand,ikorodu,5.5,3,92,5,false,how to apply for this school,SHRS,/,/about/ /admission/ /contact/,P1
sultan hanafi school application form,transactional,decision,brand,ikorodu,5.5,3,92,5,false,application form for this school,SHRS,/,/about/ /admission/ /contact/,P1
sultan hanafi school requirements for admission,transactional,decision,brand,ikorodu,5.5,3,92,5,false,requirements for admission for this school,SHRS,/,/about/ /admission/ /contact/,P1
sultan hanafi school mid term admission,transactional,decision,brand,ikorodu,5.5,3,92,5,false,mid term admission for this school,SHRS,/,/about/ /admission/ /contact/,P1
sultan hanafi school boarding fees,transactional,decision,brand,ikorodu,5.5,3,92,5,false,boarding fees for this school,SHRS,/,/about/ /admission/ /contact/,P1
shrs ikorodu,navigational,decision,brand,ikorodu,5.5,3,92,5,false,find the school itself,SHRS,/,/about/ /admission/ /contact/,P1
shrs ikorodu school fees,transactional,decision,brand,ikorodu,5.5,3,92,5,false,school fees for this school,SHRS,/,/about/ /admission/ /contact/,P1
shrs ikorodu fees per term,transactional,decision,brand,ikorodu,5.5,3,92,5,false,fees per term for this school,SHRS,/,/about/ /admission/ /contact/,P1
shrs ikorodu tuition fees,transactional,decision,brand,ikorodu,5.5,3,92,5,false,tuition fees for this school,SHRS,/,/about/ /admission/ /contact/,P1
shrs ikorodu admission requirements,transactional,decision,brand,ikorodu,5.5,3,92,5,false,admission requirements for this school,SHRS,/,/about/ /admission/ /contact/,P1
shrs ikorodu how to apply,transactional,decision,brand,ikorodu,5.5,3,92,5,false,how to apply for this school,SHRS,/,/about/ /admission/ /contact/,P1
shrs ikorodu application form,transactional,decision,brand,ikorodu,5.5,3,92,5,false,application form for this school,SHRS,/,/about/ /admission/ /contact/,P1
